2025-07-23 20:26:12.441 [AIOT-BE] ERROR: Error fetching users: Cannot read properties of undefined (reading 'userService') {"stack":"TypeError: Cannot read properties of undefined (reading 'userService')\n    at getUsers (/home/user/GitHub/AIOT/be/src/controllers/rbac/UserController.ts:100:38)\n    at Layer.handle [as handle_request] (/home/user/GitHub/AIOT/be/node_modules/express/lib/router/layer.js:95:5)\n    at next (/home/user/GitHub/AIOT/be/node_modules/express/lib/router/route.js:149:13)\n    at <anonymous> (/home/user/GitHub/AIOT/be/src/middlewares/permissionMiddleware.ts:158:17)\n    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)"}
2025-07-23 20:26:13.536 [AIOT-BE] ERROR: Error fetching roles: Cannot read properties of undefined (reading 'roleService') {"stack":"TypeError: Cannot read properties of undefined (reading 'roleService')\n    at getRoles (/home/user/GitHub/AIOT/be/src/controllers/rbac/RoleController.ts:128:38)\n    at Layer.handle [as handle_request] (/home/user/GitHub/AIOT/be/node_modules/express/lib/router/layer.js:95:5)\n    at next (/home/user/GitHub/AIOT/be/node_modules/express/lib/router/route.js:149:13)\n    at <anonymous> (/home/user/GitHub/AIOT/be/src/middlewares/permissionMiddleware.ts:158:17)\n    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)"}
2025-07-23 20:26:13.542 [AIOT-BE] ERROR: Error fetching permissions: Cannot read properties of undefined (reading 'permissionService') {"stack":"TypeError: Cannot read properties of undefined (reading 'permissionService')\n    at getPermissions (/home/user/GitHub/AIOT/be/src/controllers/rbac/PermissionController.ts:94:44)\n    at Layer.handle [as handle_request] (/home/user/GitHub/AIOT/be/node_modules/express/lib/router/layer.js:95:5)\n    at next (/home/user/GitHub/AIOT/be/node_modules/express/lib/router/route.js:149:13)\n    at <anonymous> (/home/user/GitHub/AIOT/be/src/middlewares/permissionMiddleware.ts:158:17)\n    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)"}
2025-07-23 20:26:13.546 [AIOT-BE] ERROR: Error fetching users: Cannot read properties of undefined (reading 'userService') {"stack":"TypeError: Cannot read properties of undefined (reading 'userService')\n    at getUsers (/home/user/GitHub/AIOT/be/src/controllers/rbac/UserController.ts:100:38)\n    at Layer.handle [as handle_request] (/home/user/GitHub/AIOT/be/node_modules/express/lib/router/layer.js:95:5)\n    at next (/home/user/GitHub/AIOT/be/node_modules/express/lib/router/route.js:149:13)\n    at <anonymous> (/home/user/GitHub/AIOT/be/src/middlewares/permissionMiddleware.ts:158:17)\n    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)"}
2025-07-23 20:26:13.559 [AIOT-BE] ERROR: Error fetching roles: Cannot read properties of undefined (reading 'roleService') {"stack":"TypeError: Cannot read properties of undefined (reading 'roleService')\n    at getRoles (/home/user/GitHub/AIOT/be/src/controllers/rbac/RoleController.ts:128:38)\n    at Layer.handle [as handle_request] (/home/user/GitHub/AIOT/be/node_modules/express/lib/router/layer.js:95:5)\n    at next (/home/user/GitHub/AIOT/be/node_modules/express/lib/router/route.js:149:13)\n    at <anonymous> (/home/user/GitHub/AIOT/be/src/middlewares/permissionMiddleware.ts:158:17)\n    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)"}
2025-07-23 20:26:13.564 [AIOT-BE] ERROR: Error fetching users: Cannot read properties of undefined (reading 'userService') {"stack":"TypeError: Cannot read properties of undefined (reading 'userService')\n    at getUsers (/home/user/GitHub/AIOT/be/src/controllers/rbac/UserController.ts:100:38)\n    at Layer.handle [as handle_request] (/home/user/GitHub/AIOT/be/node_modules/express/lib/router/layer.js:95:5)\n    at next (/home/user/GitHub/AIOT/be/node_modules/express/lib/router/route.js:149:13)\n    at <anonymous> (/home/user/GitHub/AIOT/be/src/middlewares/permissionMiddleware.ts:158:17)\n    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)"}
2025-07-23 20:26:15.696 [AIOT-BE] ERROR: Error fetching roles: Cannot read properties of undefined (reading 'roleService') {"stack":"TypeError: Cannot read properties of undefined (reading 'roleService')\n    at getRoles (/home/user/GitHub/AIOT/be/src/controllers/rbac/RoleController.ts:128:38)\n    at Layer.handle [as handle_request] (/home/user/GitHub/AIOT/be/node_modules/express/lib/router/layer.js:95:5)\n    at next (/home/user/GitHub/AIOT/be/node_modules/express/lib/router/route.js:149:13)\n    at <anonymous> (/home/user/GitHub/AIOT/be/src/middlewares/permissionMiddleware.ts:158:17)\n    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)"}
2025-07-23 20:26:15.707 [AIOT-BE] ERROR: Error fetching permissions: Cannot read properties of undefined (reading 'permissionService') {"stack":"TypeError: Cannot read properties of undefined (reading 'permissionService')\n    at getPermissions (/home/user/GitHub/AIOT/be/src/controllers/rbac/PermissionController.ts:94:44)\n    at Layer.handle [as handle_request] (/home/user/GitHub/AIOT/be/node_modules/express/lib/router/layer.js:95:5)\n    at next (/home/user/GitHub/AIOT/be/node_modules/express/lib/router/route.js:149:13)\n    at <anonymous> (/home/user/GitHub/AIOT/be/src/middlewares/permissionMiddleware.ts:158:17)\n    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)"}
2025-07-23 20:26:15.716 [AIOT-BE] ERROR: Error fetching users: Cannot read properties of undefined (reading 'userService') {"stack":"TypeError: Cannot read properties of undefined (reading 'userService')\n    at getUsers (/home/user/GitHub/AIOT/be/src/controllers/rbac/UserController.ts:100:38)\n    at Layer.handle [as handle_request] (/home/user/GitHub/AIOT/be/node_modules/express/lib/router/layer.js:95:5)\n    at next (/home/user/GitHub/AIOT/be/node_modules/express/lib/router/route.js:149:13)\n    at <anonymous> (/home/user/GitHub/AIOT/be/src/middlewares/permissionMiddleware.ts:158:17)\n    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)"}
2025-07-23 20:26:15.732 [AIOT-BE] ERROR: Error fetching roles: Cannot read properties of undefined (reading 'roleService') {"stack":"TypeError: Cannot read properties of undefined (reading 'roleService')\n    at getRoles (/home/user/GitHub/AIOT/be/src/controllers/rbac/RoleController.ts:128:38)\n    at Layer.handle [as handle_request] (/home/user/GitHub/AIOT/be/node_modules/express/lib/router/layer.js:95:5)\n    at next (/home/user/GitHub/AIOT/be/node_modules/express/lib/router/route.js:149:13)\n    at <anonymous> (/home/user/GitHub/AIOT/be/src/middlewares/permissionMiddleware.ts:158:17)\n    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)"}
